NO.,ชื่อองค์กร,รายละเอียก,ความคิดสร้างสรรค์ในการฝ่าอุปสรรค,ขยายขอบเขตความคิดสร้างสรรค์ด้วยเทคโนโลยี ,ความคิดสร้างสรรค์บนความโปร่งใสที่จับต้องได้,ความคิดสร้างสรรค์เพื่อเปิดโอกาสให้คนอื่น ,ความคิดสร้างสรรค์ที่สร้างความเป็นเจ้าของ,โลโก้,Link 1,Link 2,Link 3,Link 4,Link 5,หมายเหตุ
1,True (ทรู),"เครือโทรคมนาคม–เทคโนโลยีอันดับ 1 ของไทย เกิดจากการควบรวม TRUE–dtac (2566) ปัจจุบันวางยุทธศาสตร์เป็น ""Telco-Tech Company"" ที่นำ AI มาเป็นแกนกลางทั้งบริการลูกค้าและการบริหารองค์กร","ฝ่าโจทย์การควบรวมที่ซับซ้อนที่สุดครั้งหนึ่งของอุตสาหกรรม รวมโครงข่าย–ระบบ–วัฒนธรรมสององค์กรเข้าด้วยกัน แล้วใช้การออกแบบบริการใหม่พลิกจากภาวะขาดทุนสู่กำไรปกติต่อเนื่อง (EBITDA โต 8 ไตรมาสติด, รายได้ปี 2567 ~165,900 ลบ.) เปลี่ยนวิกฤตการรวมกิจการเป็นฐานการเติบโตใหม่","ประกาศตัวเป็น AI-First Organization: พัฒนา AI ผู้ช่วยลูกค้า ""มะลิ"" รายแรกของวงการโทรคมนาคมไทยที่ให้บริการทั้งแชตและเสียง · True CyberSafe ใช้ AI ตรวจจับ–บล็อกภัยไซเบอร์ให้ผู้ใช้กว่า 50 ล้านเลขหมายฟรี · ตั้งเป้าโอนงาน routine สู่ระบบอัตโนมัติ 100% ปี 2027 และปั้นผู้เชี่ยวชาญดิจิทัล 5,000 คน — เป็นนวัตกรรมที่คนในเป็นต้นทางและให้ผลลัพธ์ธุรกิจจริง",เปิดเผยผลประกอบการ ความคืบหน้าหลังควบรวม และรายงาน ESG ตามมาตรฐานบริษัทจดทะเบียนอย่างสม่ำเสมอ ตรวจสอบย้อนได้ (ระดับมาตรฐาน — ตามนิยาม ESG report = band กลาง),"core — สร้างระบบนิเวศให้ผู้ประกอบการ/สตาร์ทอัพภายนอกผ่าน True Digital Park ศูนย์รวมสตาร์ทอัพใหญ่ที่สุดในอาเซียน (สมาชิกกว่า 6,000 ราย ทั้งสตาร์ทอัพ–VC–บรรษัท–สถาบัน) + โปรแกรมบ่มเพาะ True Incube (ให้คำปรึกษา–ทุน–เชื่อมเครือข่ายในเครือ) + True Digital Academy ยกระดับทักษะ AI/ดิจิทัลให้คนไทยวงกว้าง — กลไกเชิงโครงสร้างที่เปิดโอกาสคนนอกจริง","ฐานลูกค้ารวมใหญ่ที่สุดของประเทศ ผูกพันผ่านบริการ–ดิจิทัลไลฟ์สไตล์ครบวงจร (สัญญาณ ""เจ้าของร่วม"" เชิงลึกยังไม่เด่นเท่าด้านอื่น)",https://drive.google.com/file/d/1sglDZvo7gMjqZSuRsl257AhlSCDSpNSz/view?usp=sharing,https://www.bangkokbiznews.com/tech/ai/1233221,https://www.facebook.com/photo.php?fbid=1276332324623577&set=a.266091618980991&type=3,https://www.thaipr.net/en/business_en/3720372,https://techsauce.co/tech-and-biz/true-digital-park-startup-ecosystem,https://www.facebook.com/261990096842118/posts/950240761350378,
2,Siam Piwat (สยามพิวรรธน์),"ผู้พัฒนา–บริหารค้าปลีก/อสังหาฯ ระดับไอคอนของไทย (ICONSIAM, สยามพารากอน, สยามดิสคัฟเวอรี่, สยามเซ็นเตอร์) วางจุดยืนเป็น ""Creative Powerhouse"" ที่ใช้พื้นที่ค้าปลีกขับเคลื่อนเศรษฐกิจสร้างสรรค์","ฝ่าค้าปลีกยุค disruption ด้วยการนิยามห้าง/พื้นที่ใหม่ให้เป็น ""จุดหมายระดับโลก"" ที่ผสานศิลปะ–วัฒนธรรม–การค้า จนดึงนักท่องเที่ยว/แบรนด์ลักชัวรีเข้าไทยและพลิกบทบาทค้าปลีกเป็นเครื่องมือสร้างมูลค่าให้เมือง","บุกเบิก ""Art-in-Mall"" ผสานงานศิลปะ–ดีไซน์–ความยั่งยืนเข้ากับประสบการณ์ค้าปลีก (เช่น ICONSIAM ที่ผสานพื้นที่จัดแสดงศิลปะ–เรือนไทยสตรีทฟู้ด–เทศกาลระดับโลก) สร้างประสบการณ์ที่ต่างจากห้างเดิมอย่างชัดเจน",เปิดเผย ESG และทำงานแบบ co-creation ร่วมกับชุมชน เผยกระบวนการพัฒนาโครงการต่อสาธารณะ (ระดับมาตรฐาน–ดี),"core — ICONSIAM เปิดโอกาสเชิงพาณิชย์ให้ผู้ประกอบการ/SME ไทยกว่า 35,000 ราย ได้พื้นที่ขาย + ร่วม co-creation กับ 13 ชุมชนริมแม่น้ำเจ้าพระยาตั้งแต่ต้น + เป็นเวทีให้ศิลปิน–ดีไซเนอร์ไทย และหนุน Bangkok Design Week — กลไกเชิงโครงสร้าง+ตัวเลขผลกระทบชัด (ปรับขึ้นตามหลักฐาน audit)",แฟนแบรนด์/นักท่องเที่ยวผูกพันกับ destination และความภูมิใจในความเป็นไทยร่วมสมัย,https://drive.google.com/file/d/1CB0EBPFs56mpPAH9zGhg7-B1rYhlXitC/view?usp=sharing,https://www.facebook.com/photo.php?fbid=1271147068463314&set=a.568204332090928&type=3,https://www.facebook.com/photo.php?fbid=959683510079900&set=a.241749148540010&type=3,https://www.bangkokbiznews.com/lifestyle/food/1227592,https://www.nationthailand.com/business/corporate/40055958,https://www.dailynews.co.th/news/5714473/,
3,Local Alike,กิจการเพื่อสังคมด้านการท่องเที่ยวโดยชุมชน (Community-Based Tourism) ก่อตั้งโดยไผ-สมศักดิ์ บุญคำ (อดีตวิศวกร) ร่วมงานกับชุมชนกว่า 200 แห่งใน 46 จังหวัด,"พลิกธุรกิจท่องเที่ยวชุมชนจาก ""Hall of Fail"" สู่ ""Hall of Fame"" พิสูจน์ว่าท่องเที่ยวยั่งยืนทำกำไรได้จริง จนคว้า 2 รางวัล Thailand Tourism Awards 2025 (Outstanding + Sustainability) จากโปรเจกต์ ""Forgotten Isaan / Vintage Isaan Village"" [อ้างอิง: Brandage, TrueID]","พัฒนาแพลตฟอร์มดิจิทัลจองทริปชุมชน + ระดมทุนแบบ equity crowdfunding ผ่าน Peer Power (เป้า 20–30 ลบ.) เพื่อพัฒนาระบบ marketplace และหมู่บ้านต้นแบบอย่างน้อย 30 แห่ง [อ้างอิง: Peer Power, SME Thailand]","เปิดเผยโมเดลแบ่งรายได้ ""70/30"" (70% คืนชุมชนโดยตรง / 30% ค่าบริหารจัดการ) อย่างชัดเจน ตรวจสอบได้ (เช่น แพ็กเกจ Dusit Local Explorer) [อ้างอิง: The People, OKMD]","core — พัฒนาชุมชนกว่า 200 แห่งใน 46 จังหวัด (อบรมบุคลากรท้องถิ่นราว 1,800 คน รองรับนักท่องเที่ยวกว่า 45,000 ราย) ออกแบบให้เจ้าบ้าน–ชุมชนร่วมสร้างประสบการณ์และมีรายได้จริง กระจายรายได้สู่ฐานราก — กลไก+ตัวเลขผลกระทบครบ [อ้างอิง: OKMD, SE Thailand, TrueID]","ชุมชนและนักเดินทางร่วมเป็นเจ้าของ–ร่วมสร้างสรรค์คุณค่าการท่องเที่ยวยั่งยืน [อ้างอิง: OKMD, Matichon]",https://drive.google.com/file/d/1K2L9t_evuWDuxzrY6i6ghwktOFy-1yxs/view?usp=sharing,https://www.brandage.com/article/27099,https://www.peerpower.co.th/en/blog/local-alike-sustainable-tourism-equity-crowdfunding,https://www.thepeople.co/read/social/50727,https://knowledgeportal.okmd.or.th/article/657a9b47e2b20,https://marketeeronline.co/archives/60992,
4,NIA (สำนักงานนวัตกรรมแห่งชาติ),สำนักงานนวัตกรรมแห่งชาติ (องค์การมหาชน) หน่วยงานขับเคลื่อนและเชื่อมโยงระบบนิเวศนวัตกรรม–สตาร์ทอัพของไทย,"ฝ่าโจทย์ระบบนิเวศนวัตกรรมไทยที่กระจัดกระจาย ด้วยการวางบทบาทใหม่เป็น ""Focal Conductor"" (วาทยกร) เชื่อมภาครัฐ–เอกชน–การศึกษา–นักลงทุนเข้าด้วยกัน",ขับเคลื่อนดีพเทค/AI/ความยั่งยืนผ่านเวที SITE (Startup x Innovation Thailand Expo) มหกรรมนวัตกรรม–สตาร์ทอัพใหญ่ที่สุดในอาเซียน ดึงนักลงทุนทั่วโลกเข้าไทย,เผยแพร่ดัชนี/ข้อมูลนวัตกรรมและรายละเอียดทุนสนับสนุนต่อสาธารณะอย่างเปิดกว้าง,"core — ใช้กรอบ ""4G"" (Groom–Grant–Growth–Global) เป็นกลไกเชิงโครงสร้าง: บ่มเพาะผู้ประกอบการรุ่นใหม่ ให้ทุนโครงการศักยภาพสูง เร่งการเติบโต และดันสตาร์ทอัพไทยสู่เวทีโลกผ่าน Global Startup Hub — เปิดโอกาสคนนอกจำนวนมาก (core เด่น)",สร้างชุมชนสตาร์ทอัพ/นวัตกรไทยที่เติบโตและภาคภูมิใจร่วมกัน,https://drive.google.com/file/d/19ZMK2ZSV16Nh_wqnhioBMzJcMJB0ksyV/view?usp=sharing,https://www.smethailandclub.com/entrepreneur/10291.html,https://www.facebook.com/304802931674939/videos/1469638398180288,https://www.facebook.com/photo.php?fbid=1438291884994360&set=a.493266419496916&type=3,https://www.facebook.com/511606054096662/posts/1488585056398752,https://www.bangkokbiznews.com/lifestyle/judprakai/1238462,
5,เครือเจริญโภคภัณฑ์ (CP Group),เครือธุรกิจขนาดใหญ่ที่สุดของไทย ครอบคลุมเกษตร–อาหาร–ค้าปลีก–โทรคมนาคม–ดิจิทัล,เครือใหญ่ที่ปรับตัวข้ามหลายอุตสาหกรรมรับความเปลี่ยนแปลงเร็ว (จุดเด่นเชิงพลิกวิกฤตเฉพาะกรณีระดับเครือยังไม่โดดเด่นชัดเท่าด้านอื่น),ลงทุนเทคโนโลยี/ดิจิทัลข้ามธุรกิจในเครือ — ค้าปลีกอัจฉริยะ ฟาร์มอัจฉริยะ โลจิสติกส์ดิจิทัล,"เปิดเผย ESG + ได้ ""องค์กรต้นแบบด้านสิทธิมนุษยชนดีเด่น 2568"" + ขึ้นทะเบียนลดก๊าซเรือนกระจก T-VER (ระดับมาตรฐาน–ดี ตามนิยาม ESG = band กลาง)","core — โครงการ CONNEXT ED ""สานอนาคตการศึกษา"" พัฒนาโรงเรียน 5,567 แห่ง เข้าถึงเยาวชน 83,436 คน ผ่านโครงการกว่า 500 โครงการ + หนุนเกษตรกร/ชุมชนในห่วงโซ่ — กลไกเชิงโครงสร้าง+ตัวเลขผลกระทบขนาดใหญ่ (core เด่น)",ฐานพนักงานและวัฒนธรรมเครือขนาดใหญ่,https://drive.google.com/file/d/1PQ98jbZN2cGp0Gni71NkCLN9jWMDiMik/view?usp=sharing,https://www.facebook.com/photo.php?fbid=1533216855135679&set=a.747437347046971&type=3,https://alternate-x.com/ecovative/true-ai-first-8000-workforce-skill-gap-thailand/,https://institute.cpli.co.th/th/our-pride,https://www.cpall.co.th/en/news-en/csr-en/connext-ed-5-years,https://www.blockdit.com/posts/69eaec37092fbd34df15c2d6,
6,เครือเอสซีจี (SCG),เครือซิเมนต์–วัสดุก่อสร้าง–เคมีภัณฑ์–แพคเกจจิ้งชั้นนำของไทยและอาเซียน,ปรับพอร์ตสู่ธุรกิจกรีน/ลดคาร์บอนท่ามกลางวิกฤตต้นทุนพลังงานและภาวะโลกร้อน,"พัฒนา ""ปูนซีเมนต์คาร์บอนต่ำ"" รายแรกของไทย + โซลูชันก่อสร้างล้ำสมัย เช่น CPAC 3D Printing และ CPAC Ultra Bridge — นวัตกรรมกรีนที่คนในองค์กรเป็นต้นทางและมีผลทางธุรกิจ (เป็นจุดแข็งจริงของ SCG)",ยึดกรอบ ESG 4 Plus (Net-Zero / Go Green / Reduce Inequality / Embrace Collaboration) และเปิดเผยผลการดำเนินงานยั่งยืน (ESG100) — ระดับมาตรฐาน–ดี,โครงการชุมชน 4 ด้าน (จัดการน้ำ–ฟื้นป่าลำปาง / ป่าชุมชน–เยาวชน / ชุมชนคาร์บอนต่ำ–เกษตรอัจฉริยะ / อนุรักษ์ทะเล) เป็นการพัฒนาสังคม–CSR ที่ดี แต่ยังไม่ใช่กลไกเปิดโอกาส–รายได้เชิงโครงสร้างเต็มที่ (core เป็นด้านที่อ่อนกว่าจุดแข็ง T2/T3 — เข้า shortlist ด้วยคะแนนรวมสูง),ฐานพนักงาน/คู่ค้าในเครือที่ผูกพัน,https://drive.google.com/file/d/13d4I7Gd0eyXn0Vxn1TokC9W9SoInU1CN/view?usp=sharing,https://www.blockdit.com/posts/6a02f3b766bf349cf1fb2fb5,https://www.facebook.com/photo.php?fbid=1474255024739340&set=a.635347088630142&type=3,https://www.facebook.com/photo.php?fbid=1757088368587088&set=a.756295115333090&type=3,https://www.scg.com/sustainability/esg-in-action,https://www.facebook.com/photo.php?fbid=1757088368587088&set=a.756295115333090&type=3,
7,กลุ่มเซ็นทรัล (Central Group),เครือค้าปลีก–อสังหาฯ–โรงแรมรายใหญ่ของไทย,ปรับค้าปลีกสู่ omnichannel และขยายสู่ภูมิภาค/ต่างประเทศ,ใช้ดิจิทัล/ดาต้าผ่านระบบสมาชิก The 1 ยกระดับประสบการณ์ลูกค้าและการตลาดเฉพาะบุคคล,"เปิดเผย ESG ภายใต้ ""เซ็นทรัล ทำ"" (ระดับมาตรฐาน–ดี)","core — ตั้ง ""เซ็นทรัล ทำ"" วิสาหกิจเพื่อสังคม + ""จริงใจ Farmers' Market"" ตลาดชุมชนใน 28 จังหวัด หนุนเกษตรกรกว่า 12,300 ครัวเรือน สร้างรายได้รวมกว่า 160 ลบ. (2025) + สลัดแฟคทอรี่รับซื้อผักจาก 45 ชุมชน — กลไก+ตัวเลขผลกระทบคนนอกชัด (ปรับขึ้นตามหลักฐาน audit)",ฐานลูกค้า The 1 ขนาดใหญ่,https://drive.google.com/file/d/1_dDnmi7x7UDUARYbq6vttagSHNjqltqN/view?usp=sharing,https://www.facebook.com/644440734389362/posts/1418779386955489,https://digitalmore.co/เพาเวอร์บาย-ในเครือเซ็-13/,https://digit,https://www.centralgroup.com/th/our-pride,https://www.facebook.com/609763061192231/posts/1436784931823369,
8,ตลาดหลักทรัพย์ฯ (SET),ตลาดหลักทรัพย์แห่งประเทศไทย พร้อมแพลตฟอร์ม LiVE สำหรับ SME/สตาร์ทอัพ,ปรับบทบาทตลาดทุนให้รองรับธุรกิจขนาดเล็ก–สตาร์ทอัพและเศรษฐกิจใหม่ ไม่จำกัดแค่บริษัทใหญ่,สร้าง LiVE Platform / LiVE Exchange (LiVEx) แพลตฟอร์มดิจิทัลระดมทุนและพัฒนาธุรกิจสำหรับ SME,ออกแบบให้ SME เรียนรู้ระบบบัญชี–การเปิดเผยข้อมูล–ธรรมาภิบาลก่อนเข้าตลาด ยกระดับความโปร่งใสทั้งระบบ (โดดเด่นกว่าการรายงานทั่วไป),"core — LiVE Academy บ่มเพาะธุรกิจกว่า 3,500 บริษัท และ LiVEx ช่วย 7 บริษัทระดมทุนแล้วกว่า 287 ลบ. เป็น ""สปริงบอร์ด"" พา SME สู่ตลาดทุน — กลไกเชิงโครงสร้าง+ตัวเลข (core เด่น)",ชุมชนนักลงทุน/ผู้ประกอบการที่เติบโตไปด้วยกัน,https://drive.google.com/file/d/1iyci3xcK17SstgynzG3agPCf462-Hau6/view?usp=sharing,https://www.facebook.com/photo.php?fbid=1638144731652335&set=a.383924563741031&type=3,https://www.facebook.com/photo.php?fbid=1280506290843752&set=a.620467693514285&type=3,https://www.blockdit.com/posts/69ea3ad303107bc0c9e456ed,https://www.bangkokbanksme.com/en/live-exchange-sme-raises-funds-stock-market,https://www.busin,
9,depa (เศรษฐกิจดิจิทัล),สำนักงานส่งเสริมเศรษฐกิจดิจิทัล หน่วยงานขับเคลื่อน digital transformation ของประเทศ,ขับเคลื่อนการปรับตัวสู่ดิจิทัลทั้งระบบเศรษฐกิจ ท่ามกลางช่องว่างดิจิทัลของ SME/ชุมชน,ส่งเสริมเทคโนโลยี/นวัตกรรมดิจิทัล + ตั้งสถาบันส่งเสริมวิสาหกิจดิจิทัลเริ่มต้น (ดีพเทคสตาร์ทอัพ),เปิดเผยข้อมูลโครงการและทุนสนับสนุนอย่างโปร่งใส,core — กลไก SME Digital Coupon ช่วย SME นำเทคโนโลยีไปใช้จริง + โครงการดิจิทัลชุมชนเปิดโอกาสชุมชนเข้าถึงเทคโนโลยี + ดันสตาร์ทอัพดิจิทัล — เปิดโอกาสคนนอกเชิงโครงสร้าง (core เด่น),เครือข่ายผู้ประกอบการดิจิทัล,https://drive.google.com/file/d/1YaAz9mJ1Cs91WfX6feiitrSNi9Uaawfz/view?usp=sharing,https://www.facebook.com/photo.php?fbid=1363059189185783&set=a.617485280409848&type=3,https://www.facebook.com/118721910998482/posts/987022910835040,https://www.facebook.com/photo.php?fbid=1363059189185783&set=a.617485280409848&type=3,https://www.depa.or.th/th/startup,https://www.matichon.co.th/economy/eco-report/news_5664541,
10,OR (ปตท. น้ำมันและค้าปลีก),"ผู้ดำเนินธุรกิจน้ำมัน–ค้าปลีก–ไลฟ์สไตล์ในเครือ ปตท. (PTT Station, Café Amazon)",ปรับสถานีบริการน้ำมันสู่ศูนย์ค้าปลีก–ไลฟ์สไตล์–EV รับพฤติกรรมผู้บริโภคและพลังงานที่เปลี่ยน,พัฒนาดิจิทัล/แอป + วาง EV ecosystem (EV Station PluZ) ขยายโครงสร้างพื้นฐานยานยนต์ไฟฟ้า,เปิดเผย ESG ตามมาตรฐาน,"core — ""Café Amazon for Chance"" จ้างงานผู้ด้อยโอกาส/ผู้พิการ/ผู้สูงอายุเป็นบาริสต้า + โครงการ ""ไทยเด็ด"" เปิดพื้นที่ขายสินค้าชุมชนในสถานีบริการ + รับซื้อเมล็ดกาแฟจากเกษตรกรไทย — กลไกเปิดโอกาส+ผลกระทบสังคมจริง (core เด่น)",ฐานลูกค้า/สมาชิก Blue Card ขนาดใหญ่,https://drive.google.com/file/d/11v4IdHMB9bx0e-rVZXgeYHVkFZ54UPfO/view?usp=sharing,https://www.facebook.com/568239215420773/posts/1308412378070116,https://www.facebook.com/568239215420773/posts/1308412378070116,https://www.facebook.com/568239215420773/posts/1308412378070116,https://www.facebook.com/495096055959195/posts/1605228111612645,https://www.naewna.com/politic/970287,
